cond,source,broken,f1,mean,std,mem_gb
slicingなし,astronaut,False,0.8006,108.94,78.5,5.331
slicingなし,camera,False,0.7577,87.95,44.05,5.331
slicingなし,coffee,False,0.6568,102.37,49.95,5.331
slicingなし,chelsea,False,0.6284,99.37,56.45,5.331
slicingなし,coins,False,0.8699,110.7,43.17,5.331
slicingあり,astronaut,True,0.0,0.0,0.0,5.331
slicingあり,camera,True,0.0,0.0,0.0,5.331
slicingあり,coffee,True,0.0,0.0,0.0,5.331
slicingあり,chelsea,True,0.0,0.0,0.0,5.331
slicingあり,coins,True,0.0,0.0,0.0,5.331
slicingあり修正,astronaut,False,0.7991,108.93,78.51,5.331
slicingあり修正,camera,False,0.7576,87.94,44.06,5.331
slicingあり修正,coffee,False,0.6578,102.37,49.94,5.331
slicingあり修正,chelsea,False,0.6292,99.38,56.47,5.331
slicingあり修正,coins,False,0.8695,110.66,43.14,5.331
