source,alpha,cond_density,scale,f1_vs_intended
camera,0.15,0.0,0.2,0.1633
camera,0.15,0.0,1.0,0.18
camera,0.15,0.0,2.0,0.1386
camera,0.15,0.0,3.0,0.1492
camera,1.0,0.075096,0.2,0.1567
camera,1.0,0.075096,1.0,0.7577
camera,1.0,0.075096,2.0,0.8721
camera,1.0,0.075096,3.0,0.851
rocket,0.15,0.0,0.2,0.1565
rocket,0.15,0.0,1.0,0.1828
rocket,0.15,0.0,2.0,0.0258
rocket,0.15,0.0,3.0,0.0638
rocket,1.0,0.042999,0.2,0.6249
rocket,1.0,0.042999,1.0,0.8392
rocket,1.0,0.042999,2.0,0.9586
rocket,1.0,0.042999,3.0,0.9471
