tag,source,kind,prompt,cond_density,f1,precision,recall,chamfer,clip
e4_astronaut_match,astronaut,match,a photo of an astronaut in a spacesuit,0.09000015258789062,0.8005724483366793,0.9109941654272966,0.7140253465010808,2.257591962814331,0.303
e4_astronaut_conflict0,astronaut,conflict0,a red sports car,0.09000015258789062,0.8798134006925185,0.8474362306464189,0.914762853388717,1.8450095653533936,0.2802
e4_astronaut_conflict1,astronaut,conflict1,a wooden sailboat,0.09000015258789062,0.8105400831056981,0.7225172132104096,0.922985631331327,2.8747479915618896,0.3
e4_astronaut_conflict2,astronaut,conflict2,a bowl of ramen,0.09000015258789062,0.8655835271129286,0.8271797731920432,0.9077268681388547,1.75079345703125,0.2755
e4_camera_match,camera,match,a photo of a photographer with a tripod,0.07509613037109375,0.757708008737944,0.6594192162382398,0.890429747028345,6.000296115875244,0.2971
e4_camera_conflict0,camera,conflict0,a red sports car,0.07509613037109375,0.814591552374171,0.7390089046839436,0.9073961190693894,3.8655593395233154,0.2802
e4_camera_conflict1,camera,conflict1,a wooden sailboat,0.07509613037109375,0.7138290283298159,0.6653044750517129,0.7699888245453622,6.432530403137207,0.2766
e4_camera_conflict2,camera,conflict2,a bowl of ramen,0.07509613037109375,0.8887039684285976,0.8549557167653211,0.9252260489688103,2.0190846920013428,0.2635
e4_coffee_match,coffee,match,a photo of a cup of coffee on a table,0.05858612060546875,0.6568056343088631,0.8755196869650281,0.5255241567912489,5.48878812789917,0.2941
e4_coffee_conflict0,coffee,conflict0,a red sports car,0.05858612060546875,0.7455738639496936,0.6170774980181949,0.9416590701914311,4.978597164154053,0.1987
e4_coffee_conflict1,coffee,conflict1,a wooden sailboat,0.05858612060546875,0.5268360321560691,0.3615880038368929,0.9702435212918349,7.914042949676514,0.2484
e4_coffee_conflict2,coffee,conflict2,a bowl of ramen,0.05858612060546875,0.6676354982529599,0.5584347369342555,0.8299257715848418,4.999757289886475,0.2261
e4_chelsea_match,chelsea,match,a photo of a cat,0.04433441162109375,0.6284123140900978,0.514124031726889,0.8080364825331269,5.120604515075684,0.2775
e4_chelsea_conflict0,chelsea,conflict0,a red sports car,0.04433441162109375,0.5287066757281116,0.4999248798076923,0.5610049905351919,7.016668796539307,0.2334
e4_chelsea_conflict1,chelsea,conflict1,a wooden sailboat,0.04433441162109375,0.5375349516777381,0.3719745829267712,0.9686800894854586,6.56511116027832,0.194
e4_chelsea_conflict2,chelsea,conflict2,a bowl of ramen,0.04433441162109375,0.6027306444705448,0.5619538748030368,0.6498881431767338,6.814168930053711,0.212
e4_coins_match,coins,match,a photo of scattered metal coins,0.07428359985351562,0.8699296862579348,0.781909683520789,0.9802803882298567,1.4392591714859009,0.2898
e4_coins_conflict0,coins,conflict0,a red sports car,0.07428359985351562,0.8579138027952721,0.8689304461942258,0.8471730087813896,1.8327388763427734,0.28
e4_coins_conflict1,coins,conflict1,a wooden sailboat,0.07428359985351562,0.5632434433510669,0.3984375,0.9605607764597135,6.119504928588867,0.2591
e4_coins_conflict2,coins,conflict2,a bowl of ramen,0.07428359985351562,0.8361696551497343,0.7241903603466626,0.9891131310019,1.8819139003753662,0.1969
