mid_rms,down_rms_mean,total_rms,source,alpha,cond_std,cond_range
1.3466979265213013,0.24462155687312284,0.4592152415034311,astronaut,0.0,0.0,0
5.033222675323486,0.9327493086457253,1.723314800965402,astronaut,0.05,3.7855243976064865,13
5.427058219909668,1.0169587799658377,1.8659156214497101,astronaut,0.1,7.511625483083105,25
5.35608434677124,1.0573851857334375,1.8729502611882658,astronaut,0.2,15.035355945290094,51
5.219273090362549,1.0567442861696084,1.8388570401881839,astronaut,0.4,30.0585515904859,102
5.030430316925049,1.0390932510296504,1.784053278513393,astronaut,0.7,52.582935559464175,178
4.776727199554443,0.9911673025538524,1.6941699236468801,astronaut,1.0,75.12313024822211,255
1.4519463777542114,0.2345833256840706,0.4767161692780975,camera,0.0,0.0,0
4.2512431144714355,0.6664384203031659,1.38217218419948,camera,0.05,3.7529866790475954,13
4.462862014770508,0.8082227132593592,1.5162546234164702,camera,0.1,7.347216280585966,25
4.6545729637146,0.8865029212708274,1.6056776170451448,camera,0.2,14.72313698685682,51
4.882682800292969,0.9256937134390076,1.680620998225711,camera,0.4,29.455045178809364,102
4.9003682136535645,0.9601314958805839,1.7066452282903535,camera,0.7,51.532762194890594,178
4.920717716217041,0.968131372705102,1.7161595386086486,camera,1.0,73.64484655630548,255
1.4148674011230469,0.23367926043768725,0.46737362125946774,coffee,0.0,0.0,0
4.146493434906006,0.7484580026939511,1.4083052296129415,coffee,0.05,3.1104734918231025,13
4.390832424163818,0.8659767707188925,1.5362999483701352,coffee,0.1,6.2152494550837805,25
4.559653282165527,0.9353473276520768,1.6170538200894355,coffee,0.2,12.38390795763696,51
4.769129753112793,0.9691590433940291,1.682363283843809,coffee,0.4,24.785826090448655,102
4.767929553985596,0.9678174772610267,1.6777218488691457,coffee,0.7,43.38681276009924,178
4.627015590667725,0.9495765687897801,1.6329391103707371,coffee,1.0,61.97798688695267,255
1.5872468948364258,0.2413931197176377,0.5128319795370603,chelsea,0.0,0.0,0
4.918788909912109,0.8645566254854202,1.657094147326052,chelsea,0.05,1.5881182381468528,9
4.794888496398926,0.9312140426288048,1.6632167244486322,chelsea,0.1,3.1224152150969275,19
4.905317306518555,0.9621017351746559,1.703283518000065,chelsea,0.2,6.2310540141125985,36
5.036516189575195,0.9818631857633591,1.7430524959638722,chelsea,0.4,12.452519193312016,73
4.802180767059326,0.9656392466276884,1.6792432646367472,chelsea,0.7,21.787232577631073,128
4.552934646606445,0.9419581387192011,1.608044754403116,chelsea,1.0,31.123621397095246,183
1.4439218044281006,0.24422979603211084,0.48172903086700436,coins,0.0,0.0,0
3.0517563819885254,0.6133455991124114,1.0625197295296132,coins,0.05,2.7507154058389687,13
3.052217483520508,0.6721942303702235,1.1014296428732673,coins,0.1,5.4767539516829675,24
3.496612787246704,0.7711531712363163,1.2643558954647884,coins,0.2,10.942779178709115,49
3.6734259128570557,0.8231837457666794,1.3368180451605527,coins,0.4,21.87813407132954,97
3.7057738304138184,0.8258524487415949,1.3447450006359283,coins,0.7,38.28565938462516,171
3.6858439445495605,0.8192993327975273,1.335642345858985,coins,1.0,54.691269668593556,244
1.4458643198013306,0.2457367287327846,0.4821596368756756,horse,0.0,0.0,0
4.984089374542236,0.5671971328556538,1.5177533663915599,horse,0.05,6.258608033115887,13
4.81921911239624,0.5701914715270201,1.476672838858339,horse,0.1,12.0368914749047,25
4.5333662033081055,0.5657047710071007,1.4017317052116158,horse,0.2,24.555171564231095,51
4.318562030792236,0.5576051513974866,1.3432256642836398,horse,0.4,49.108976145223636,102
4.143870830535889,0.550144750935336,1.2952200383460157,horse,0.7,85.70065917814327,178
3.9788177013397217,0.5171413104981184,1.2365164923749736,horse,1.0,122.77253404446166,255
1.5319793224334717,0.24247374882300696,0.5010404837821401,page,0.0,0.0,0
3.022392988204956,0.6279128560175499,1.0720287620411286,page,0.05,2.377268496714709,13
