tag,source,alpha,cond_density,ref_source,f1,md5,gen_edge_density
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,astronaut,0.37432217455682953,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,camera,0.32748794824570454,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,coffee,0.22107755884526137,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,chelsea,0.27145727537576375,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,coins,0.2972313380943193,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,horse,0.0899126850256747,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,page,0.3245978914837299,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,rocket,0.23341919949618825,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,immunohistochemistry,0.4001991370362839,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,cell,0.013173193732082429,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,synth_sparse,0.07244161589209513,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,synth_low,0.11365513383676357,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,synth_mid,0.21977307591151363,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,synth_dense,0.29777693665990224,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a0.15,synth_sparse,0.15,0.0,synth_veryd,0.38204366798087835,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,astronaut,0.16930812590391012,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,camera,0.18452989264696043,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,coffee,0.17370550446764518,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,chelsea,0.14237161976947826,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,coins,0.21655803268220017,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,horse,0.06747662989950028,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,page,0.26908357778500036,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,rocket,0.06191456075544355,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,immunohistochemistry,0.23233535175105707,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,cell,0.04160485916667398,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,synth_sparse,0.33322930426162256,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,synth_low,0.10464994527209133,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,synth_mid,0.24552589397764946,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,synth_dense,0.20927431305371796,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_sparse_a1.0,synth_sparse,1.0,0.008056640625,synth_veryd,0.25405544315114514,597ccc32247c9d528403c8bcfda1b9ca,0.041019439697265625
e1_synth_low_a0.15,synth_low,0.15,0.0,astronaut,0.37432217455682953,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,camera,0.32748794824570454,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,coffee,0.22107755884526137,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,chelsea,0.27145727537576375,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,coins,0.2972313380943193,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,horse,0.0899126850256747,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,page,0.3245978914837299,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,rocket,0.23341919949618825,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,immunohistochemistry,0.4001991370362839,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,cell,0.013173193732082429,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,synth_sparse,0.07244161589209513,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,synth_low,0.11365513383676357,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,synth_mid,0.21977307591151363,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,synth_dense,0.29777693665990224,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a0.15,synth_low,0.15,0.0,synth_veryd,0.38204366798087835,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,astronaut,0.21027280402342974,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,camera,0.18205200737170618,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,coffee,0.19492837838933164,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,chelsea,0.1719858716161688,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,coins,0.16261682727920707,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,horse,0.08415169264110571,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,page,0.15799696862537682,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,rocket,0.04418735091622956,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,immunohistochemistry,0.18704762390178384,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,cell,0.008659144581474678,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,synth_sparse,0.10959382063968702,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,synth_low,0.830453852480114,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,synth_mid,0.19513759589662452,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,synth_dense,0.1806198392651236,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,synth_veryd,0.2046638455571364,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_mid_a0.15,synth_mid,0.15,0.0,astronaut,0.37432217455682953,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,camera,0.32748794824570454,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,coffee,0.22107755884526137,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,chelsea,0.27145727537576375,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,coins,0.2972313380943193,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,horse,0.0899126850256747,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,page,0.3245978914837299,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,rocket,0.23341919949618825,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,immunohistochemistry,0.4001991370362839,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,cell,0.013173193732082429,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,synth_sparse,0.07244161589209513,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,synth_low,0.11365513383676357,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,synth_mid,0.21977307591151363,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,synth_dense,0.29777693665990224,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,synth_veryd,0.38204366798087835,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,astronaut,0.3194976492569323,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,camera,0.2624947012830238,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,coffee,0.19932776160037807,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,chelsea,0.27731102821646536,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,coins,0.3229672156898168,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,horse,0.09044237105526604,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,page,0.20489988419784683,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,rocket,0.17053791409176652,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,immunohistochemistry,0.3723638045173579,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,cell,0.01945643344392574,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,synth_sparse,0.1674453813481178,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,synth_low,0.21725709364945806,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
